domain,dns_resolves,ip_address,https_works,http_works,status_code,title,final_url,error
0101admin.au.bank.in,False,,False,False,,,,
0101admin.cug.au.bank.in,False,,False,False,,,,
0101admin2.cug.au.bank.in,False,,False,False,,,,
0101mobile.au.bank.in,False,,False,False,,,,
0101mobile.cug.au.bank.in,False,,False,False,,,,
0101mobile2.cug.au.bank.in,False,,False,False,,,,
0101mobilecug.au.bank.in,False,,False,False,,,,
1.hdfc.bank.in,False,,False,False,,,,
1.kotak.bank.in,False,,False,False,,,,
11.kotak.bank.in,True,40.74.54.101,True,False,404,,https://11.kotak.bank.in/,
12.kotak.bank.in,True,115.114.132.75,True,False,403,,https://12.kotak.bank.in/,
13.kotak.bank.in,True,103.141.252.151,True,False,200,,https://13.kotak.bank.in/,
14.kotak.bank.in,True,35.244.188.122,True,False,403,,https://14.kotak.bank.in/,
15.kotak.bank.in,True,59.144.138.162,True,False,404,,https://15.kotak.bank.in/,
16.kotak.bank.in,False,,False,False,,,,
1hub.karurvysya.bank.in,False,,False,False,,,,
1hub.kvb.bank.in,False,,False,False,,,,
1hub.kvbuat.bank.in,False,,False,False,,,,
1hubuat.karurvysya.bank.in,False,,False,False,,,,
252525252fwww.axis.bank.in,False,,False,False,,,,
2525252fwww.axis.bank.in,False,,False,False,,,,
25252fwww.axis.bank.in,False,,False,False,,,,
252fwww.axis.bank.in,False,,False,False,,,,
2fa.unionbankonline.bank.in,False,,False,False,,,,
2fauat.unionbankonline.bank.in,False,,False,False,,,,
3.kotak.bank.in,False,,False,False,,,,
3dsbiacs.sbi.bank.in,True,210.210.24.129,True,False,200,,https://3dsbiacs.sbi.bank.in/,
3dsecure.icici.bank.in,False,,False,False,,,,
3dsecure.yes.bank.in,True,103.19.217.152,True,False,503,,https://3dsecure.yes.bank.in/,
5.kotak.bank.in,False,,False,False,,,,
6.kotak.bank.in,False,,False,False,,,,
811appdaichi.kotak811.bank.in,False,,False,False,,,,
811apppurezento-dr.kotak811.bank.in,False,,False,False,,,,
811apppurezento.kotak811.bank.in,False,,False,False,,,,
811appumami.uat.kotak811.bank.in,False,,False,False,,,,
811appwasabi.kotak811.bank.in,False,,False,False,,,,
811base.kotak811.bank.in,False,,False,False,,,,
811base.uat.kotak811.bank.in,False,,False,False,,,,
811envoy-egress.kotak811.bank.in,False,,False,False,,,,
811fastag.kotak811.bank.in,False,,False,False,,,,
811insurance.dev.kotak811.bank.in,False,,False,False,,,,
811insurance.kotak811.bank.in,False,,False,False,,,,
811insurance.uat.kotak811.bank.in,False,,False,False,,,,
811marketing.kotak811.bank.in,False,,False,False,,,,
811marketing.uat.kotak811.bank.in,False,,False,False,,,,
811onb.kotak811.bank.in,False,,False,False,,,,
811onb.uat.kotak811.bank.in,False,,False,False,,,,
811otp.kotak811.bank.in,False,,False,False,,,,
811otp.uat.kotak811.bank.in,False,,False,False,,,,
811sensei.kotak811.bank.in,False,,False,False,,,,
811sentry.uat.kotak811.bank.in,False,,False,False,,,,
811settlement-dashboard.kotak811.bank.in,False,,False,False,,,,
811upi-settlement-dashboard.kotak811.bank.in,False,,False,False,,,,
811upi.kotak811.bank.in,False,,False,False,,,,
811upi.uat.kotak811.bank.in,False,,False,False,,,,
811upiswitch-signer.kotak811.bank.in,False,,False,False,,,,
a.au.bank.in,True,115.114.132.75,True,False,403,,https://a.au.bank.in/,
a1b7.axis.bank.in,True,104.211.97.138,True,False,404,,https://a1b7.axis.bank.in/,
aa.au.bank.in,True,35.244.31.59,True,False,200,FIU,https://aa.au.bank.in/,
aa.pnbuat.bank.in,False,,False,False,,,,
aacampaign.kotak.bank.in,False,,False,False,,,,
aadhaaruat.hdfcuat.bank.in,False,,False,False,,,,
aafip.karnatakagb.bank.in,False,,False,False,,,,
aafip.kgb.bank.in,False,,False,False,,,,
aafip.pnb.bank.in,False,,False,False,,,,
aafiu.karnatakagb.bank.in,False,,False,False,,,,
aafiu.kgb.bank.in,False,,False,False,,,,
aafiu.pnb.bank.in,False,,False,False,,,,
aal.bandhan.bank.in,False,,False,False,,,,
aaprod.suryoday.bank.in,False,,False,False,,,,
aarohan.canarabank.bank.in,False,,False,False,,,,
aarohan.canarauat.bank.in,False,,False,False,,,,
aarpacr.indusind.bank.in,False,,False,False,,,,
aaw.bandhan.bank.in,False,,False,False,,,,
ab.bank.in,True,192.64.80.67,True,False,200,ab.bank.in,https://ab.bank.in/,
abhinandan.bank.in,True,115.124.117.136,False,False,0,,,URLError: <urlopen error timed out>
abhinav.bank.in,True,94.249.213.25,True,False,403,,https://abhinav.bank.in/,
abhyudaya.bank.in,True,180.179.108.177,True,False,200,,https://abhyudaya.bank.in/,
abl.dbs.bank.in,False,,False,False,,,,
ablfe-uat.dbs.bank.in,False,,False,False,,,,
ablsg-cfe-uat.dbs.bank.in,False,,False,False,,,,
about.hsbc.bank.in,False,,False,False,,,,
absbl.bank.in,True,88.222.208.234,True,False,200,Appasaheb Birnale Sahakari Bank LTD Dudhgaon,https://absbl.bank.in/,
absolute.dhan.bank.in,False,,False,False,,,,
abuapi.bankofmaharashtra.bank.in,False,,False,False,,,,
acab.bank.in,False,,False,False,,,,
acc.suryoday.bank.in,False,,False,False,,,,
accags.indusind.bank.in,True,52.66.89.77,True,False,503,,https://accags.indusind.bank.in/,
accdevorg.cc.idfcfirst.bank.in,False,,False,False,,,,
access.hdfc.bank.in,True,3.109.135.188,True,False,200,PHP-Fusion Powered Website - Login,https://access.hdfc.bank.in/,
access.jpmorgan.bank.in,False,,False,False,,,,
accessportal.jpmorgan.bank.in,False,,False,False,,,,
accessportalprf.jpmorgan.bank.in,False,,False,False,,,,
accessportalprf1.jpmorgan.bank.in,False,,False,False,,,,
accessportalprf2.jpmorgan.bank.in,False,,False,False,,,,
accessportalqaf1.jpmorgan.bank.in,False,,False,False,,,,
accessportalqaf2.jpmorgan.bank.in,False,,False,False,,,,
accessportalqaf3.jpmorgan.bank.in,False,,False,False,,,,
accessportalqaf4.jpmorgan.bank.in,False,,False,False,,,,
accessportalqaf5.jpmorgan.bank.in,False,,False,False,,,,
accessportalqaf6.jpmorgan.bank.in,False,,False,False,,,,
accessprf.jpmorgan.bank.in,False,,False,False,,,,
accessprf1.jpmorgan.bank.in,False,,False,False,,,,
accessprf2.jpmorgan.bank.in,False,,False,False,,,,
accesspte1.jpmorgan.bank.in,False,,False,False,,,,
accesspte2.jpmorgan.bank.in,False,,False,False,,,,
accesspte3.jpmorgan.bank.in,False,,False,False,,,,
accesspte4.jpmorgan.bank.in,False,,False,False,,,,
accesspte5.jpmorgan.bank.in,False,,False,False,,,,
accint.suryoday.bank.in,False,,False,False,,,,
accord.axis.bank.in,False,,False,False,,,,
accountopen.federal.bank.in,False,,False,False,,,,
accountstatement.cub.bank.in,True,115.112.68.206,False,False,0,,,URLError: <urlopen error timed out>
