domain,dns_resolves,ip_address,https_works,http_works,status_code,title,final_url,error
absbl.bank,False,,False,False,,,,DNS NXDOMAIN
adilabaddccb.bank,False,,False,False,,,,DNS NXDOMAIN
adinath.bank,False,,False,False,,,,DNS NXDOMAIN
agvb.bank,False,,False,False,,,,DNS NXDOMAIN
agvbuat.bank,False,,False,False,,,,DNS NXDOMAIN
airtel.bank,False,,False,False,,,,DNS NXDOMAIN
airtelpayments.bank,False,,False,False,,,,DNS NXDOMAIN
airtelpaymentsuat.bank,False,,False,False,,,,DNS NXDOMAIN
ajms.bank,False,,False,False,,,,DNS NXDOMAIN
akhandanand.bank,False,,False,False,,,,DNS NXDOMAIN
akolaurban.bank,False,,False,False,,,,DNS NXDOMAIN
akolawashimdcc.bank,False,,False,False,,,,DNS NXDOMAIN
amco.bank,False,,False,False,,,,DNS NXDOMAIN
american.bank,True,34.67.15.244,True,False,200,Home - American National Bank,https://www.american.bank/,
amex.bank,False,,False,False,,,,DNS NXDOMAIN
apgb.bank,True,65.1.68.6,True,False,200,"Andhra Pradesh Grameena Bank – Loans, Savings &amp; Services",https://apgb.bank.in/,
aprb.bank,False,,False,False,,,,DNS NXDOMAIN
arvindsahakari.bank,False,,False,False,,,,DNS NXDOMAIN
asbmahad.bank,False,,False,False,,,,DNS NXDOMAIN
au.bank,False,,False,False,,,,DNS NXDOMAIN
aucbakola.bank,False,,False,False,,,,DNS NXDOMAIN
auuat.bank,False,,False,False,,,,DNS NXDOMAIN
axis.bank,False,,False,False,,,,DNS NXDOMAIN
axisuat.bank,False,,False,False,,,,DNS NXDOMAIN
bajajlife.bank,False,,False,False,,,,DNS NXDOMAIN
balangirdccb.bank,False,,False,False,,,,DNS NXDOMAIN
bandhan.bank,False,,False,False,,,,DNS NXDOMAIN
bankofbaroda.bank,False,,False,False,,,,DNS NXDOMAIN
bankofindia.bank,False,,False,False,,,,DNS NXDOMAIN
barclays.bank,False,,False,False,,,,DNS NXDOMAIN
bardolinagrik.bank,False,,False,False,,,,DNS NXDOMAIN
bgb.bank,False,,False,False,,,,DNS NXDOMAIN
bharuchdccb.bank,False,,False,False,,,,DNS NXDOMAIN
bharuchmahila.bank,False,,False,False,,,,DNS NXDOMAIN
bhavnagar.bank,False,,False,False,,,,DNS NXDOMAIN
birla.bank,False,,False,False,,,,DNS NXDOMAIN
bmcb.bank,False,,False,False,,,,DNS NXDOMAIN
bnpparibas.bank,False,,False,False,,,,DNS NXDOMAIN
bnpparibasuat.bank,False,,False,False,,,,DNS NXDOMAIN
bnsb.bank,False,,False,False,,,,DNS NXDOMAIN
bnsbbala.bank,False,,False,False,,,,DNS NXDOMAIN
bob.bank,True,52.86.189.41,True,False,200,bob.bank,https://bob.bank/,
boi.bank,False,,False,False,,,,DNS NXDOMAIN
bom.bank,False,,False,False,,,,DNS NXDOMAIN
bsbl.bank,False,,False,False,,,,DNS NXDOMAIN
canara.bank,False,,False,False,,,,DNS NXDOMAIN
canarabank.bank,False,,False,False,,,,DNS NXDOMAIN
canarauat.bank,False,,False,False,,,,DNS NXDOMAIN
capital.bank,True,45.60.106.206,True,False,401,,https://capital.bank/,
capitalsfbuat.bank,False,,False,False,,,,DNS NXDOMAIN
ccb.bank,True,141.193.213.20,True,False,200,"Chickasaw Community Bank | Banking, loans, and more",https://www.ccb.bank/,
central.bank,False,,False,False,,,,DNS NXDOMAIN
centralbank.bank,False,,False,False,,,,DNS NXDOMAIN
chartered.bank,False,,False,False,,,,DNS NXDOMAIN
citi.bank,False,,False,False,,,,DNS NXDOMAIN
citibank.bank,False,,False,False,,,,DNS NXDOMAIN
cityunionbank.bank,False,,False,False,,,,DNS NXDOMAIN
cnsblchhapi.bank,False,,False,False,,,,DNS NXDOMAIN
coastal.bank,False,,False,False,,,,DNS NXDOMAIN
cobmahesana.bank,False,,False,False,,,,DNS NXDOMAIN
crgb.bank,False,,False,False,,,,DNS NXDOMAIN
csb.bank,True,192.124.249.52,True,False,200,,https://csb.bank/,
csbuat.bank,False,,False,False,,,,DNS NXDOMAIN
cub.bank,False,,False,False,,,,DNS NXDOMAIN
cubuat.bank,False,,False,False,,,,DNS NXDOMAIN
dbs.bank,False,,False,False,,,,DNS NXDOMAIN
dcb.bank,False,,False,False,,,,DNS NXDOMAIN
dcbuat.bank,False,,False,False,,,,DNS NXDOMAIN
dccbjagdalpur.bank,False,,False,False,,,,DNS NXDOMAIN
deutsche.bank,False,,False,False,,,,DNS NXDOMAIN
dhan.bank,False,,False,False,,,,DNS NXDOMAIN
dhanuat.bank,False,,False,False,,,,DNS NXDOMAIN
discover.bank,False,,False,False,,,,DNS NXDOMAIN
dns.bank,False,,False,False,,,,DNS NXDOMAIN
equitas.bank,False,,False,False,,,,DNS NXDOMAIN
equitasuat.bank,False,,False,False,,,,DNS NXDOMAIN
esaf.bank,False,,False,False,,,,DNS NXDOMAIN
esafuat.bank,False,,False,False,,,,DNS NXDOMAIN
federal.bank,False,,False,False,,,,DNS NXDOMAIN
federaluat.bank,False,,False,False,,,,DNS NXDOMAIN
fino.bank,False,,False,False,,,,DNS NXDOMAIN
gncb.bank,False,,False,False,,,,DNS NXDOMAIN
gpparsik.bank,False,,False,False,,,,DNS NXDOMAIN
gsc.bank,False,,False,False,,,,DNS NXDOMAIN
hasti.bank,False,,False,False,,,,DNS NXDOMAIN
hdfc.bank,False,,False,False,,,,DNS NXDOMAIN
hdfclife.bank,False,,False,False,,,,DNS NXDOMAIN
hdfcuat.bank,False,,False,False,,,,DNS NXDOMAIN
hpgb.bank,False,,False,False,,,,DNS NXDOMAIN
hpgbuat.bank,False,,False,False,,,,DNS NXDOMAIN
hsbc.bank,False,,False,False,,,,DNS NXDOMAIN
icici.bank,False,,False,False,,,,DNS NXDOMAIN
icicipru.bank,False,,False,False,,,,DNS NXDOMAIN
iciciuat.bank,False,,False,False,,,,DNS NXDOMAIN
icmbankltd.bank,False,,False,False,,,,DNS NXDOMAIN
idbi.bank,False,,False,False,,,,DNS NXDOMAIN
idfc.bank,False,,False,False,,,,DNS NXDOMAIN
idfcfirst.bank,False,,False,False,,,,DNS NXDOMAIN
india.bank,False,,False,False,,,,DNS NXDOMAIN
india1.bank,False,,False,False,,,,DNS NXDOMAIN
indiafirst.bank,False,,False,False,,,,DNS NXDOMAIN
indian.bank,False,,False,False,,,,DNS NXDOMAIN
indianbank.bank,False,,False,False,,,,DNS NXDOMAIN
indianbankuat.bank,False,,False,False,,,,DNS NXDOMAIN
indus.bank,False,,False,False,,,,DNS NXDOMAIN
indusind.bank,False,,False,False,,,,DNS NXDOMAIN
iob.bank,False,,False,False,,,,DNS NXDOMAIN
ipsb.bank,False,,False,False,,,,DNS NXDOMAIN
jana.bank,False,,False,False,,,,DNS NXDOMAIN
janakalyan.bank,False,,False,False,,,,DNS NXDOMAIN
jijamatapune.bank,False,,False,False,,,,DNS NXDOMAIN
jio.bank,False,,False,False,,,,DNS NXDOMAIN
jiopayments.bank,False,,False,False,,,,DNS NXDOMAIN
jjsbl.bank,False,,False,False,,,,DNS NXDOMAIN
jkb.bank,False,,False,False,,,,DNS NXDOMAIN
jkgrameen.bank,False,,False,False,,,,DNS NXDOMAIN
jpc.bank,False,,False,False,,,,DNS NXDOMAIN
jpmorgan.bank,False,,False,False,,,,DNS NXDOMAIN
jrgbank.bank,False,,False,False,,,,DNS NXDOMAIN
jrgbank-uat.bank,False,,False,False,,,,DNS NXDOMAIN
jsblpune.bank,False,,False,False,,,,DNS NXDOMAIN
