domain,ct_search_type,ct_issuer_ca_id,ct_issuer_name,ct_not_before,ct_not_after,ct_serial_number,ct_entry_timestamp,ct_id
proctering.spark.sbi.bank.in,Identity,62123,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1",2026-06-16T00:00:00,2026-12-15T23:59:59,0aeb72f8ce69bb31315a3ced6ef315b4,2026-06-19T18:44:47.016,27325834459
edac.sbi.bank.in,Identity,176211,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2",2026-06-19T00:00:00,2027-01-03T23:59:59,0a2e5c13c205f247337a1b37e8c3ef6d,2026-06-19T08:44:05.596,27314173716
www.edac.sbi.bank.in,Identity,176211,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2",2026-06-19T00:00:00,2027-01-03T23:59:59,0a2e5c13c205f247337a1b37e8c3ef6d,2026-06-19T08:44:05.596,27314173716
proctering.spark.sbi.bank.in,Identity,62123,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1",2026-06-16T00:00:00,2026-12-15T23:59:59,0aeb72f8ce69bb31315a3ced6ef315b4,2026-06-16T14:48:55.924,27235849683
sbcepayuser.sbi.bank.in,Identity,176211,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2",2026-06-02T00:00:00,2026-12-17T23:59:59,05707d1a6262fb5c97007e275dfc6bb2,2026-06-02T10:42:28.415,26824588825
proctering.spark.sbi.bank.in,Identity,62123,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1",2026-05-26T00:00:00,2026-11-26T23:59:59,0248126a460b86132c45a0c171418c7b,2026-05-28T00:39:22.438,26694050964
proctering.spark.sbi.bank.in,Identity,62123,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1",2026-05-26T00:00:00,2026-11-26T23:59:59,0248126a460b86132c45a0c171418c7b,2026-05-26T18:28:26.77,26661403136
proctering.spark.sbi.bank.in,Identity,62123,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1",2026-04-28T00:00:00,2026-10-28T23:59:59,0fe5384ed9e6cf94e27c1db8915d0248,2026-04-29T00:39:48.921,25895214820
proctering.spark.sbi.bank.in,Identity,62123,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1",2026-04-28T00:00:00,2026-10-28T23:59:59,0fe5384ed9e6cf94e27c1db8915d0248,2026-04-28T17:52:16.48,25886128006
proctering.spark.sbi.bank.in,Identity,286244,"C=US, O=Google Trust Services, CN=WR3",2026-04-25T01:58:26,2026-07-24T02:57:42,0085aeacf6cda3d3d00a4f1bcd0c5160bc,2026-04-25T03:00:17.038,25808894880
