domain,dns_resolves,ip_address,https_works,http_works,status_code,title,final_url,error
aadhar.fin.in,False,,False,False,,,,
absbl.fin.in,False,,False,False,,,,
acko general.fin.in,False,,False,False,,,,
acko.fin.in,False,,False,False,,,,
adilabaddccb.fin.in,False,,False,False,,,,
adinath.fin.in,False,,False,False,,,,
aditya.fin.in,False,,False,False,,,,
agvb.fin.in,False,,False,False,,,,
agvbuat.fin.in,False,,False,False,,,,
airtel.fin.in,False,,False,False,,,,
airtelpayments.fin.in,False,,False,False,,,,
airtelpaymentsuat.fin.in,False,,False,False,,,,
ajms.fin.in,False,,False,False,,,,
akhandanand.fin.in,False,,False,False,,,,
akolaurban.fin.in,False,,False,False,,,,
akolawashimdcc.fin.in,False,,False,False,,,,
amco.fin.in,False,,False,False,,,,
apgb.fin.in,False,,False,False,,,,
aprb.fin.in,False,,False,False,,,,
arohan.fin.in,False,,False,False,,,,
arvindsahakari.fin.in,False,,False,False,,,,
asbmahad.fin.in,False,,False,False,,,,
au.fin.in,False,,False,False,,,,
aucbakola.fin.in,False,,False,False,,,,
auuat.fin.in,False,,False,False,,,,
axis.fin.in,False,,False,False,,,,
axisuat.fin.in,False,,False,False,,,,
bajaj allianz.fin.in,False,,False,False,,,,
bajaj finserv.fin.in,False,,False,False,,,,
bajajallianz.fin.in,False,,False,False,,,,
bajajfinance.fin.in,False,,False,False,,,,
bajajfinserv.fin.in,False,,False,False,,,,
bajajlife.fin.in,False,,False,False,,,,
balangirdccb.fin.in,False,,False,False,,,,
bandhan.fin.in,False,,False,False,,,,
bank.fin.in,False,,False,False,,,,
bankofbaroda.fin.in,False,,False,False,,,,
bankofindia.fin.in,False,,False,False,,,,
bardolinagrik.fin.in,False,,False,False,,,,
bgb.fin.in,False,,False,False,,,,
bharuchdccb.fin.in,False,,False,False,,,,
bharuchmahila.fin.in,False,,False,False,,,,
bhavishya.fin.in,False,,False,False,,,,
bhavnagar.fin.in,False,,False,False,,,,
bhim.fin.in,False,,False,False,,,,
birla.fin.in,False,,False,False,,,,
bmcb.fin.in,False,,False,False,,,,
bnpparibas.fin.in,False,,False,False,,,,
bnpparibasuat.fin.in,False,,False,False,,,,
bnsb.fin.in,False,,False,False,,,,
bnsbbala.fin.in,False,,False,False,,,,
bob.fin.in,False,,False,False,,,,
boi.fin.in,False,,False,False,,,,
bom.fin.in,False,,False,False,,,,
bsbl.fin.in,False,,False,False,,,,
bse.fin.in,False,,False,False,,,,
canara.fin.in,False,,False,False,,,,
canarabank.fin.in,False,,False,False,,,,
canarauat.fin.in,False,,False,False,,,,
capital.fin.in,False,,False,False,,,,
capitalsfbuat.fin.in,False,,False,False,,,,
care health.fin.in,False,,False,False,,,,
care.fin.in,False,,False,False,,,,
cashe.fin.in,False,,False,False,,,,
cbdt.fin.in,False,,False,False,,,,
cbec.fin.in,False,,False,False,,,,
cbic.fin.in,False,,False,False,,,,
ccb.fin.in,False,,False,False,,,,
ccil.fin.in,False,,False,False,,,,
cdsl.fin.in,False,,False,False,,,,
central.fin.in,False,,False,False,,,,
centralbank.fin.in,False,,False,False,,,,
chola.fin.in,False,,False,False,,,,
cholamandalam ms.fin.in,False,,False,False,,,,
cholamandalam.fin.in,False,,False,False,,,,
cityunionbank.fin.in,False,,False,False,,,,
clearing.fin.in,False,,False,False,,,,
cnsblchhapi.fin.in,False,,False,False,,,,
coastal.fin.in,False,,False,False,,,,
cobmahesana.fin.in,False,,False,False,,,,
coverfox.fin.in,False,,False,False,,,,
cred.fin.in,False,,False,False,,,,
crgb.fin.in,False,,False,False,,,,
csb.fin.in,False,,False,False,,,,
csbuat.fin.in,False,,False,False,,,,
cub.fin.in,False,,False,False,,,,
cubuat.fin.in,False,,False,False,,,,
dbs.fin.in,False,,False,False,,,,
dcb.fin.in,False,,False,False,,,,
dcbuat.fin.in,False,,False,False,,,,
dccbjagdalpur.fin.in,False,,False,False,,,,
deutsche.fin.in,False,,False,False,,,,
dhan.fin.in,False,,False,False,,,,
dhanla.fin.in,False,,False,False,,,,
dhanuat.fin.in,False,,False,False,,,,
digit.fin.in,False,,False,False,,,,
dns.fin.in,False,,False,False,,,,
earlysalary.fin.in,False,,False,False,,,,
eci.fin.in,False,,False,False,,,,
eg.fin.in,False,,False,False,,,,
equitas.fin.in,False,,False,False,,,,
equitasuat.fin.in,False,,False,False,,,,
esaf.fin.in,False,,False,False,,,,
esafuat.fin.in,False,,False,False,,,,
federal.fin.in,False,,False,False,,,,
federaluat.fin.in,False,,False,False,,,,
fibe.fin.in,False,,False,False,,,,
finance.fin.in,False,,False,False,,,,
fino.fin.in,False,,False,False,,,,
fintech.fin.in,False,,False,False,,,,
freecharge.fin.in,False,,False,False,,,,
gncb.fin.in,False,,False,False,,,,
go digit.fin.in,False,,False,False,,,,
go.fin.in,False,,False,False,,,,
gpay.fin.in,False,,False,False,,,,
gpparsik.fin.in,False,,False,False,,,,
