domain,dns_resolves,ip_address,https_works,http_works,status_code,title,final_url,error
aadhar.insurance.in,False,,False,False,,,,
absbl.insurance.in,False,,False,False,,,,
acko general.insurance.in,False,,False,False,,,,
acko.insurance.in,False,,False,False,,,,
adilabaddccb.insurance.in,False,,False,False,,,,
adinath.insurance.in,False,,False,False,,,,
aditya.insurance.in,False,,False,False,,,,
agvb.insurance.in,False,,False,False,,,,
agvbuat.insurance.in,False,,False,False,,,,
airtel.insurance.in,False,,False,False,,,,
airtelpayments.insurance.in,False,,False,False,,,,
airtelpaymentsuat.insurance.in,False,,False,False,,,,
ajms.insurance.in,False,,False,False,,,,
akhandanand.insurance.in,False,,False,False,,,,
akolaurban.insurance.in,False,,False,False,,,,
akolawashimdcc.insurance.in,False,,False,False,,,,
amco.insurance.in,False,,False,False,,,,
apgb.insurance.in,False,,False,False,,,,
aprb.insurance.in,False,,False,False,,,,
arohan.insurance.in,False,,False,False,,,,
arvindsahakari.insurance.in,False,,False,False,,,,
asbmahad.insurance.in,False,,False,False,,,,
au.insurance.in,False,,False,False,,,,
aucbakola.insurance.in,False,,False,False,,,,
auuat.insurance.in,False,,False,False,,,,
axis.insurance.in,False,,False,False,,,,
axisuat.insurance.in,False,,False,False,,,,
bajaj allianz.insurance.in,False,,False,False,,,,
bajaj finserv.insurance.in,False,,False,False,,,,
bajajallianz.insurance.in,False,,False,False,,,,
bajajfinance.insurance.in,False,,False,False,,,,
bajajfinserv.insurance.in,False,,False,False,,,,
bajajlife.insurance.in,False,,False,False,,,,
balangirdccb.insurance.in,False,,False,False,,,,
bandhan.insurance.in,False,,False,False,,,,
bank.insurance.in,False,,False,False,,,,
bankofbaroda.insurance.in,False,,False,False,,,,
bankofindia.insurance.in,False,,False,False,,,,
bardolinagrik.insurance.in,False,,False,False,,,,
bgb.insurance.in,False,,False,False,,,,
bharuchdccb.insurance.in,False,,False,False,,,,
bharuchmahila.insurance.in,False,,False,False,,,,
bhavishya.insurance.in,False,,False,False,,,,
bhavnagar.insurance.in,False,,False,False,,,,
bhim.insurance.in,False,,False,False,,,,
birla.insurance.in,False,,False,False,,,,
bmcb.insurance.in,False,,False,False,,,,
bnpparibas.insurance.in,False,,False,False,,,,
bnpparibasuat.insurance.in,False,,False,False,,,,
bnsb.insurance.in,False,,False,False,,,,
bnsbbala.insurance.in,False,,False,False,,,,
bob.insurance.in,False,,False,False,,,,
boi.insurance.in,False,,False,False,,,,
bom.insurance.in,False,,False,False,,,,
bsbl.insurance.in,False,,False,False,,,,
bse.insurance.in,False,,False,False,,,,
canara.insurance.in,False,,False,False,,,,
canarabank.insurance.in,False,,False,False,,,,
canarauat.insurance.in,False,,False,False,,,,
capital.insurance.in,False,,False,False,,,,
capitalsfbuat.insurance.in,False,,False,False,,,,
care health.insurance.in,False,,False,False,,,,
care.insurance.in,False,,False,False,,,,
cashe.insurance.in,False,,False,False,,,,
cbdt.insurance.in,False,,False,False,,,,
cbec.insurance.in,False,,False,False,,,,
cbic.insurance.in,False,,False,False,,,,
ccb.insurance.in,False,,False,False,,,,
ccil.insurance.in,False,,False,False,,,,
cdsl.insurance.in,False,,False,False,,,,
central.insurance.in,False,,False,False,,,,
centralbank.insurance.in,False,,False,False,,,,
chola.insurance.in,False,,False,False,,,,
cholamandalam ms.insurance.in,False,,False,False,,,,
cholamandalam.insurance.in,False,,False,False,,,,
cityunionbank.insurance.in,False,,False,False,,,,
clearing.insurance.in,False,,False,False,,,,
cnsblchhapi.insurance.in,False,,False,False,,,,
coastal.insurance.in,False,,False,False,,,,
cobmahesana.insurance.in,False,,False,False,,,,
coverfox.insurance.in,False,,False,False,,,,
cred.insurance.in,False,,False,False,,,,
crgb.insurance.in,False,,False,False,,,,
csb.insurance.in,False,,False,False,,,,
csbuat.insurance.in,False,,False,False,,,,
cub.insurance.in,False,,False,False,,,,
cubuat.insurance.in,False,,False,False,,,,
dbs.insurance.in,False,,False,False,,,,
dcb.insurance.in,False,,False,False,,,,
dcbuat.insurance.in,False,,False,False,,,,
dccbjagdalpur.insurance.in,False,,False,False,,,,
deutsche.insurance.in,False,,False,False,,,,
dhan.insurance.in,False,,False,False,,,,
dhanla.insurance.in,False,,False,False,,,,
dhanuat.insurance.in,False,,False,False,,,,
digit.insurance.in,False,,False,False,,,,
dns.insurance.in,False,,False,False,,,,
earlysalary.insurance.in,False,,False,False,,,,
eci.insurance.in,False,,False,False,,,,
eg.insurance.in,False,,False,False,,,,
equitas.insurance.in,False,,False,False,,,,
equitasuat.insurance.in,False,,False,False,,,,
esaf.insurance.in,False,,False,False,,,,
esafuat.insurance.in,False,,False,False,,,,
federal.insurance.in,False,,False,False,,,,
federaluat.insurance.in,False,,False,False,,,,
fibe.insurance.in,False,,False,False,,,,
finance.insurance.in,False,,False,False,,,,
fino.insurance.in,False,,False,False,,,,
fintech.insurance.in,False,,False,False,,,,
freecharge.insurance.in,False,,False,False,,,,
gncb.insurance.in,False,,False,False,,,,
go digit.insurance.in,False,,False,False,,,,
go.insurance.in,False,,False,False,,,,
gpay.insurance.in,False,,False,False,,,,
gpparsik.insurance.in,False,,False,False,,,,
gsc.insurance.in,False,,False,False,,,,
gst.insurance.in,False,,False,False,,,,
gstn.insurance.in,False,,False,False,,,,
hasti.insurance.in,False,,False,False,,,,
hdfc ergo.insurance.in,False,,False,False,,,,
hdfc life.insurance.in,False,,False,False,,,,
hdfc.insurance.in,False,,False,False,,,,
hdfcergo.insurance.in,False,,False,False,,,,
hdfclife.insurance.in,False,,False,False,,,,
hdfcsales.insurance.in,False,,False,False,,,,
hdfcuat.insurance.in,False,,False,False,,,,
hpgb.insurance.in,False,,False,False,,,,
hpgbuat.insurance.in,False,,False,False,,,,
icici bank.insurance.in,False,,False,False,,,,
icici lombard.insurance.in,False,,False,False,,,,
icici.insurance.in,False,,False,False,,,,
icicilombard.insurance.in,False,,False,False,,,,
icicipru.insurance.in,False,,False,False,,,,
iciciuat.insurance.in,False,,False,False,,,,
icmbankltd.insurance.in,False,,False,False,,,,
icrier.insurance.in,False,,False,False,,,,
idbi.insurance.in,False,,False,False,,,,
idfc.insurance.in,False,,False,False,,,,
idfcfirst.insurance.in,False,,False,False,,,,
idfcfsb.insurance.in,False,,False,False,,,,
iffco tokyo.insurance.in,False,,False,False,,,,
iffco.insurance.in,False,,False,False,,,,
income.insurance.in,False,,False,False,,,,
incometax.insurance.in,False,,False,False,,,,
india1.insurance.in,False,,False,False,,,,
indiafirst.insurance.in,False,,False,False,,,,
indian.insurance.in,False,,False,False,,,,
indianbank.insurance.in,False,,False,False,,,,
indianbankuat.insurance.in,False,,False,False,,,,
indusind.insurance.in,False,,False,False,,,,
insurance.insurance.in,False,,False,False,,,,
insurancedekho.insurance.in,False,,False,False,,,,
invest.insurance.in,False,,False,False,,,,
iob.insurance.in,False,,False,False,,,,
ipsb.insurance.in,False,,False,False,,,,
ircai.insurance.in,False,,False,False,,,,
irda.insurance.in,False,,False,False,,,,
jana.insurance.in,False,,False,False,,,,
janakalyan.insurance.in,False,,False,False,,,,
jijamatapune.insurance.in,False,,False,False,,,,
jio.insurance.in,False,,False,False,,,,
jiopayments.insurance.in,False,,False,False,,,,
jjsbl.insurance.in,False,,False,False,,,,
jkb.insurance.in,False,,False,False,,,,
jkgrameen.insurance.in,False,,False,False,,,,
