domain,dns_resolves,ip_address,https_works,http_works,status_code,title,final_url,error
aadhar.nbfc.in,False,,False,False,,,,
absbl.nbfc.in,False,,False,False,,,,
acko general.nbfc.in,False,,False,False,,,,
acko.nbfc.in,False,,False,False,,,,
adilabaddccb.nbfc.in,False,,False,False,,,,
adinath.nbfc.in,False,,False,False,,,,
aditya.nbfc.in,False,,False,False,,,,
agvb.nbfc.in,False,,False,False,,,,
agvbuat.nbfc.in,False,,False,False,,,,
airtel.nbfc.in,False,,False,False,,,,
airtelpayments.nbfc.in,False,,False,False,,,,
airtelpaymentsuat.nbfc.in,False,,False,False,,,,
ajms.nbfc.in,False,,False,False,,,,
akhandanand.nbfc.in,False,,False,False,,,,
akolaurban.nbfc.in,False,,False,False,,,,
akolawashimdcc.nbfc.in,False,,False,False,,,,
amco.nbfc.in,False,,False,False,,,,
apgb.nbfc.in,False,,False,False,,,,
aprb.nbfc.in,False,,False,False,,,,
arohan.nbfc.in,False,,False,False,,,,
arvindsahakari.nbfc.in,False,,False,False,,,,
asbmahad.nbfc.in,False,,False,False,,,,
au.nbfc.in,False,,False,False,,,,
aucbakola.nbfc.in,False,,False,False,,,,
auuat.nbfc.in,False,,False,False,,,,
axis.nbfc.in,False,,False,False,,,,
axisuat.nbfc.in,False,,False,False,,,,
bajaj allianz.nbfc.in,False,,False,False,,,,
bajaj finserv.nbfc.in,False,,False,False,,,,
bajajallianz.nbfc.in,False,,False,False,,,,
bajajfinance.nbfc.in,False,,False,False,,,,
bajajfinserv.nbfc.in,False,,False,False,,,,
bajajlife.nbfc.in,False,,False,False,,,,
balangirdccb.nbfc.in,False,,False,False,,,,
bandhan.nbfc.in,False,,False,False,,,,
bank.nbfc.in,False,,False,False,,,,
bankofbaroda.nbfc.in,False,,False,False,,,,
bankofindia.nbfc.in,False,,False,False,,,,
bardolinagrik.nbfc.in,False,,False,False,,,,
bgb.nbfc.in,False,,False,False,,,,
bharuchdccb.nbfc.in,False,,False,False,,,,
bharuchmahila.nbfc.in,False,,False,False,,,,
bhavishya.nbfc.in,False,,False,False,,,,
bhavnagar.nbfc.in,False,,False,False,,,,
bhim.nbfc.in,False,,False,False,,,,
birla.nbfc.in,False,,False,False,,,,
bmcb.nbfc.in,False,,False,False,,,,
bnpparibas.nbfc.in,False,,False,False,,,,
bnpparibasuat.nbfc.in,False,,False,False,,,,
bnsb.nbfc.in,False,,False,False,,,,
bnsbbala.nbfc.in,False,,False,False,,,,
bob.nbfc.in,False,,False,False,,,,
boi.nbfc.in,False,,False,False,,,,
bom.nbfc.in,False,,False,False,,,,
bsbl.nbfc.in,False,,False,False,,,,
bse.nbfc.in,False,,False,False,,,,
canara.nbfc.in,False,,False,False,,,,
canarabank.nbfc.in,False,,False,False,,,,
canarauat.nbfc.in,False,,False,False,,,,
capital.nbfc.in,False,,False,False,,,,
capitalsfbuat.nbfc.in,False,,False,False,,,,
care health.nbfc.in,False,,False,False,,,,
care.nbfc.in,False,,False,False,,,,
cashe.nbfc.in,False,,False,False,,,,
cbdt.nbfc.in,False,,False,False,,,,
cbec.nbfc.in,False,,False,False,,,,
cbic.nbfc.in,False,,False,False,,,,
ccb.nbfc.in,False,,False,False,,,,
ccil.nbfc.in,False,,False,False,,,,
cdsl.nbfc.in,False,,False,False,,,,
central.nbfc.in,False,,False,False,,,,
centralbank.nbfc.in,False,,False,False,,,,
chola.nbfc.in,False,,False,False,,,,
cholamandalam ms.nbfc.in,False,,False,False,,,,
cholamandalam.nbfc.in,False,,False,False,,,,
cityunionbank.nbfc.in,False,,False,False,,,,
clearing.nbfc.in,False,,False,False,,,,
cnsblchhapi.nbfc.in,False,,False,False,,,,
coastal.nbfc.in,False,,False,False,,,,
cobmahesana.nbfc.in,False,,False,False,,,,
coverfox.nbfc.in,False,,False,False,,,,
cred.nbfc.in,False,,False,False,,,,
crgb.nbfc.in,False,,False,False,,,,
csb.nbfc.in,False,,False,False,,,,
csbuat.nbfc.in,False,,False,False,,,,
cub.nbfc.in,False,,False,False,,,,
cubuat.nbfc.in,False,,False,False,,,,
dbs.nbfc.in,False,,False,False,,,,
dcb.nbfc.in,False,,False,False,,,,
dcbuat.nbfc.in,False,,False,False,,,,
dccbjagdalpur.nbfc.in,False,,False,False,,,,
deutsche.nbfc.in,False,,False,False,,,,
dhan.nbfc.in,False,,False,False,,,,
dhanla.nbfc.in,False,,False,False,,,,
dhanuat.nbfc.in,False,,False,False,,,,
digit.nbfc.in,False,,False,False,,,,
dns.nbfc.in,False,,False,False,,,,
earlysalary.nbfc.in,False,,False,False,,,,
eci.nbfc.in,False,,False,False,,,,
eg.nbfc.in,False,,False,False,,,,
equitas.nbfc.in,False,,False,False,,,,
equitasuat.nbfc.in,False,,False,False,,,,
esaf.nbfc.in,False,,False,False,,,,
esafuat.nbfc.in,False,,False,False,,,,
federal.nbfc.in,False,,False,False,,,,
federaluat.nbfc.in,False,,False,False,,,,
fibe.nbfc.in,False,,False,False,,,,
finance.nbfc.in,False,,False,False,,,,
fino.nbfc.in,False,,False,False,,,,
fintech.nbfc.in,False,,False,False,,,,
freecharge.nbfc.in,False,,False,False,,,,
gncb.nbfc.in,False,,False,False,,,,
go digit.nbfc.in,False,,False,False,,,,
go.nbfc.in,False,,False,False,,,,
gpay.nbfc.in,False,,False,False,,,,
gpparsik.nbfc.in,False,,False,False,,,,
gsc.nbfc.in,False,,False,False,,,,
gst.nbfc.in,False,,False,False,,,,
gstn.nbfc.in,False,,False,False,,,,
hasti.nbfc.in,False,,False,False,,,,
hdfc ergo.nbfc.in,False,,False,False,,,,
hdfc life.nbfc.in,False,,False,False,,,,
hdfc.nbfc.in,False,,False,False,,,,
hdfcergo.nbfc.in,False,,False,False,,,,
hdfclife.nbfc.in,False,,False,False,,,,
hdfcsales.nbfc.in,False,,False,False,,,,
hdfcuat.nbfc.in,False,,False,False,,,,
hpgb.nbfc.in,False,,False,False,,,,
hpgbuat.nbfc.in,False,,False,False,,,,
icici bank.nbfc.in,False,,False,False,,,,
icici lombard.nbfc.in,False,,False,False,,,,
icici.nbfc.in,False,,False,False,,,,
icicilombard.nbfc.in,False,,False,False,,,,
icicipru.nbfc.in,False,,False,False,,,,
iciciuat.nbfc.in,False,,False,False,,,,
icmbankltd.nbfc.in,False,,False,False,,,,
icrier.nbfc.in,False,,False,False,,,,
idbi.nbfc.in,False,,False,False,,,,
idfc.nbfc.in,False,,False,False,,,,
idfcfirst.nbfc.in,False,,False,False,,,,
idfcfsb.nbfc.in,False,,False,False,,,,
iffco tokyo.nbfc.in,False,,False,False,,,,
iffco.nbfc.in,False,,False,False,,,,
income.nbfc.in,False,,False,False,,,,
incometax.nbfc.in,False,,False,False,,,,
india1.nbfc.in,False,,False,False,,,,
indiafirst.nbfc.in,False,,False,False,,,,
indian.nbfc.in,False,,False,False,,,,
indianbank.nbfc.in,False,,False,False,,,,
indianbankuat.nbfc.in,False,,False,False,,,,
indusind.nbfc.in,False,,False,False,,,,
insurance.nbfc.in,False,,False,False,,,,
insurancedekho.nbfc.in,False,,False,False,,,,
invest.nbfc.in,False,,False,False,,,,
iob.nbfc.in,False,,False,False,,,,
ipsb.nbfc.in,False,,False,False,,,,
ircai.nbfc.in,False,,False,False,,,,
irda.nbfc.in,False,,False,False,,,,
jana.nbfc.in,False,,False,False,,,,
janakalyan.nbfc.in,False,,False,False,,,,
jijamatapune.nbfc.in,False,,False,False,,,,
jio.nbfc.in,False,,False,False,,,,
jiopayments.nbfc.in,False,,False,False,,,,
jjsbl.nbfc.in,False,,False,False,,,,
jkb.nbfc.in,False,,False,False,,,,
jkgrameen.nbfc.in,False,,False,False,,,,
jpc.nbfc.in,False,,False,False,,,,
jpmorgan.nbfc.in,False,,False,False,,,,
jrgbank-uat.nbfc.in,False,,False,False,,,,
jrgbank.nbfc.in,False,,False,False,,,,
jsblpune.nbfc.in,False,,False,False,,,,
jscbl.nbfc.in,False,,False,False,,,,
jskbrjn.nbfc.in,False,,False,False,,,,
kadi.nbfc.in,False,,False,False,,,,
kalupur.nbfc.in,False,,False,False,,,,
kalyanjanata.nbfc.in,False,,False,False,,,,
kalyanjanatanet.nbfc.in,False,,False,False,,,,
kanaradcc.nbfc.in,False,,False,False,,,,
karnataka.nbfc.in,True,142.251.41.179,False,True,404,,http://karnataka.nbfc.in/,URLError: <urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000)>
karnatakagb.nbfc.in,False,,False,False,,,,
karur.nbfc.in,False,,False,False,,,,
kbsbank.nbfc.in,False,,False,False,,,,
kbstar.nbfc.in,False,,False,False,,,,
kgb.nbfc.in,False,,False,False,,,,
kissht.nbfc.in,False,,False,False,,,,
knsbl.nbfc.in,False,,False,False,,,,
kotak.nbfc.in,False,,False,False,,,,
kotak811.nbfc.in,False,,False,False,,,,
