domain,dns_resolves,ip_address,https_works,http_works,status_code,title,final_url,error
aadhar.npci.in,True,172.67.188.210,True,False,200,aadhar.npci.in - Domain For Sale,https://aadhar.npci.in/,
absbl.npci.in,True,104.21.8.235,True,False,200,absbl.npci.in - Domain For Sale,https://absbl.npci.in/,
acko general.npci.in,False,,False,False,,,,
acko.npci.in,True,172.67.188.210,True,False,200,acko.npci.in - Domain For Sale,https://acko.npci.in/,
adilabaddccb.npci.in,True,104.21.8.235,True,False,200,adilabaddccb.npci.in - Domain For Sale,https://adilabaddccb.npci.in/,
adinath.npci.in,True,172.67.188.210,True,False,200,adinath.npci.in - Domain For Sale,https://adinath.npci.in/,
aditya.npci.in,True,104.21.8.235,True,False,200,aditya.npci.in - Domain For Sale,https://aditya.npci.in/,
agvb.npci.in,True,104.21.8.235,True,False,200,agvb.npci.in - Domain For Sale,https://agvb.npci.in/,
agvbuat.npci.in,True,172.67.188.210,True,False,200,agvbuat.npci.in - Domain For Sale,https://agvbuat.npci.in/,
airtel.npci.in,True,172.67.188.210,True,False,200,airtel.npci.in - Domain For Sale,https://airtel.npci.in/,
airtelpayments.npci.in,True,104.21.8.235,True,False,200,airtelpayments.npci.in - Domain For Sale,https://airtelpayments.npci.in/,
airtelpaymentsuat.npci.in,True,172.67.188.210,True,False,200,airtelpaymentsuat.npci.in - Domain For Sale,https://airtelpaymentsuat.npci.in/,
ajms.npci.in,True,104.21.8.235,True,False,200,ajms.npci.in - Domain For Sale,https://ajms.npci.in/,
akhandanand.npci.in,True,172.67.188.210,True,False,200,akhandanand.npci.in - Domain For Sale,https://akhandanand.npci.in/,
akolaurban.npci.in,True,104.21.8.235,True,False,200,akolaurban.npci.in - Domain For Sale,https://akolaurban.npci.in/,
akolawashimdcc.npci.in,True,172.67.188.210,True,False,200,akolawashimdcc.npci.in - Domain For Sale,https://akolawashimdcc.npci.in/,
amco.npci.in,True,172.67.188.210,True,False,200,amco.npci.in - Domain For Sale,https://amco.npci.in/,
apgb.npci.in,True,104.21.8.235,True,False,200,apgb.npci.in - Domain For Sale,https://apgb.npci.in/,
aprb.npci.in,True,104.21.8.235,True,False,200,aprb.npci.in - Domain For Sale,https://aprb.npci.in/,
arohan.npci.in,True,104.21.8.235,True,False,200,arohan.npci.in - Domain For Sale,https://arohan.npci.in/,
arvindsahakari.npci.in,True,104.21.8.235,True,False,200,arvindsahakari.npci.in - Domain For Sale,https://arvindsahakari.npci.in/,
asbmahad.npci.in,True,104.21.8.235,True,False,200,asbmahad.npci.in - Domain For Sale,https://asbmahad.npci.in/,
au.npci.in,True,172.67.188.210,True,False,200,au.npci.in - Domain For Sale,https://au.npci.in/,
aucbakola.npci.in,True,104.21.8.235,True,False,200,aucbakola.npci.in - Domain For Sale,https://aucbakola.npci.in/,
auuat.npci.in,True,104.21.8.235,True,False,200,auuat.npci.in - Domain For Sale,https://auuat.npci.in/,
axis.npci.in,True,172.67.188.210,True,False,200,axis.npci.in - Domain For Sale,https://axis.npci.in/,
axisuat.npci.in,True,172.67.188.210,True,False,200,axisuat.npci.in - Domain For Sale,https://axisuat.npci.in/,
bajaj allianz.npci.in,False,,False,False,,,,
bajaj finserv.npci.in,False,,False,False,,,,
bajajallianz.npci.in,True,172.67.188.210,True,False,200,bajajallianz.npci.in - Domain For Sale,https://bajajallianz.npci.in/,
bajajfinance.npci.in,True,104.21.8.235,True,False,200,bajajfinance.npci.in - Domain For Sale,https://bajajfinance.npci.in/,
bajajfinserv.npci.in,True,172.67.188.210,True,False,200,bajajfinserv.npci.in - Domain For Sale,https://bajajfinserv.npci.in/,
bajajlife.npci.in,True,104.21.8.235,True,False,200,bajajlife.npci.in - Domain For Sale,https://bajajlife.npci.in/,
balangirdccb.npci.in,True,172.67.188.210,True,False,200,balangirdccb.npci.in - Domain For Sale,https://balangirdccb.npci.in/,
bandhan.npci.in,True,104.21.8.235,True,False,200,bandhan.npci.in - Domain For Sale,https://bandhan.npci.in/,
bank.npci.in,True,104.21.8.235,True,False,200,bank.npci.in - Domain For Sale,https://bank.npci.in/,
bankofbaroda.npci.in,True,104.21.8.235,True,False,200,bankofbaroda.npci.in - Domain For Sale,https://bankofbaroda.npci.in/,
bankofindia.npci.in,True,172.67.188.210,True,False,200,bankofindia.npci.in - Domain For Sale,https://bankofindia.npci.in/,
bardolinagrik.npci.in,True,172.67.188.210,True,False,200,bardolinagrik.npci.in - Domain For Sale,https://bardolinagrik.npci.in/,
bgb.npci.in,True,104.21.8.235,True,False,200,bgb.npci.in - Domain For Sale,https://bgb.npci.in/,
bharuchdccb.npci.in,True,172.67.188.210,True,False,200,bharuchdccb.npci.in - Domain For Sale,https://bharuchdccb.npci.in/,
bharuchmahila.npci.in,True,172.67.188.210,True,False,200,bharuchmahila.npci.in - Domain For Sale,https://bharuchmahila.npci.in/,
bhavishya.npci.in,True,172.67.188.210,True,False,200,bhavishya.npci.in - Domain For Sale,https://bhavishya.npci.in/,
bhavnagar.npci.in,True,104.21.8.235,True,False,200,bhavnagar.npci.in - Domain For Sale,https://bhavnagar.npci.in/,
bhim.npci.in,True,172.67.188.210,True,False,200,bhim.npci.in - Domain For Sale,https://bhim.npci.in/,
birla.npci.in,True,104.21.8.235,True,False,200,birla.npci.in - Domain For Sale,https://birla.npci.in/,
bmcb.npci.in,True,172.67.188.210,True,False,200,bmcb.npci.in - Domain For Sale,https://bmcb.npci.in/,
bnpparibas.npci.in,True,172.67.188.210,True,False,200,bnpparibas.npci.in - Domain For Sale,https://bnpparibas.npci.in/,
bnpparibasuat.npci.in,True,172.67.188.210,True,False,200,bnpparibasuat.npci.in - Domain For Sale,https://bnpparibasuat.npci.in/,
bnsb.npci.in,True,172.67.188.210,True,False,200,bnsb.npci.in - Domain For Sale,https://bnsb.npci.in/,
bnsbbala.npci.in,True,172.67.188.210,True,False,200,bnsbbala.npci.in - Domain For Sale,https://bnsbbala.npci.in/,
bob.npci.in,True,104.21.8.235,True,False,200,bob.npci.in - Domain For Sale,https://bob.npci.in/,
boi.npci.in,True,104.21.8.235,True,False,200,boi.npci.in - Domain For Sale,https://boi.npci.in/,
bom.npci.in,True,172.67.188.210,True,False,200,bom.npci.in - Domain For Sale,https://bom.npci.in/,
bsbl.npci.in,True,172.67.188.210,True,False,200,bsbl.npci.in - Domain For Sale,https://bsbl.npci.in/,
